,Type,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
301,Accent,Hyundai,Automatic,Saudi,Standard,2018,1.4,105500,32000
302,Malibu,Chevrolet,Automatic,Saudi,Semi Full,2017,2.5,175000,49000
303,Land Cruiser,Toyota,Automatic,Gulf Arabic,Full,2016,4.6,42000,138000
305,Prado,Toyota,Automatic,Gulf Arabic,Semi Full,2017,4.0,67357,126000
310,C300,Chrysler,Automatic,Saudi,Full,2013,5.7,340000,40000
311,6,Mazda,Automatic,Gulf Arabic,Standard,2015,2.0,82914,53000
312,Focus,Ford,Automatic,Saudi,Standard,2012,1.6,181,15000
313,Elantra,Hyundai,Automatic,Saudi,Semi Full,2017,2.0,285000,36000
314,Sierra,GMC,Automatic,Gulf Arabic,Semi Full,2000,1.5,400000,10000
315,Caprice,Chevrolet,Automatic,Other,Full,2009,6.0,350000,15000
